0,2.45,0.75,0.4,0.3,1,2.45,1.3,1.15,4.7674,4.7671,4.7671,4.7671,4.7671,4.7672,4.7671,4.7671,24.5,7.5,4,3,10,24.5,13,11.5,116.8,35.753,19.069,14.301,47.671,116.8,61.973,54.822,11.68,3.5753,1.9069,1.4301,4.7671,11.68,6.1973,5.4822,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
600,2.45,0.75,0.4,0.3,1,2.45,1.3,1.15,4.7674,4.7671,4.7671,4.7671,4.7671,4.7672,4.7671,4.7671,24.5,7.5,4,3,10,24.5,13,11.5,116.8,35.753,19.069,14.301,47.671,116.8,61.973,54.822,11.68,3.5753,1.9069,1.4301,4.7671,11.68,6.1973,5.4822,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200,2.45,0.75,0.4,0.3,1,2.45,1.3,1.15,4.7674,4.7671,4.7671,4.7671,4.7671,4.7672,4.7671,4.7671,24.5,7.5,4,3,10,24.5,13,11.5,116.8,35.753,19.069,14.301,47.671,116.8,61.973,54.822,11.68,3.5753,1.9069,1.4301,4.7671,11.68,6.1973,5.4822,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1800,2.45,0.75,0.4,0.3,1,2.45,1.3,1.15,4.7674,4.7671,4.7671,4.7671,4.7671,4.7672,4.7671,4.7671,24.5,7.5,4,3,10,24.5,13,11.5,116.8,35.753,19.069,14.301,47.671,116.8,61.973,54.822,11.68,3.5753,1.9069,1.4301,4.7671,11.68,6.1973,5.4822,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2400,2.45,0.75,0.4,0.3,1,2.45,1.3,1.15,4.7674,4.7671,4.7671,4.7671,4.7671,4.7672,4.7671,4.7671,24.5,7.5,4,3,10,24.5,13,11.5,116.8,35.753,19.069,14.301,47.671,116.8,61.973,54.822,11.68,3.5753,1.9069,1.4301,4.7671,11.68,6.1973,5.4822,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3000,2.45,0.75,0.4,0.3,1,2.45,1.3,1.15,4.7674,4.7671,4.7671,4.7671,4.7671,4.7672,4.7671,4.7671,24.5,7.5,4,3,10,24.5,13,11.5,116.8,35.753,19.069,14.301,47.671,116.8,61.973,54.822,11.68,3.5753,1.9069,1.4301,4.7671,11.68,6.1973,5.4822,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3600,1.8997,0.3,0.4266,0.31995,0.8532,1.8997,1.1732,0.7266,27.049,27.049,27.049,27.049,27.049,27.049,27.049,27.049,18.997,3,4.266,3.1995,8.532,18.997,11.732,7.266,513.86,81.147,115.39,86.543,230.78,513.86,317.32,196.54,51.386,8.1147,11.539,8.6543,23.078,51.386,31.732,19.654,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4200,1.8997,0.3,0.4266,0.31995,0.8532,1.8997,1.1732,0.7266,27.049,27.049,27.049,27.049,27.049,27.049,27.049,27.049,18.997,3,4.266,3.1995,8.532,18.997,11.732,7.266,513.86,81.147,115.39,86.543,230.78,513.86,317.32,196.54,51.386,8.1147,11.539,8.6543,23.078,51.386,31.732,19.654,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4800,1.8997,0.3,0.4266,0.31995,0.8532,1.8997,1.1732,0.7266,27.049,27.049,27.049,27.049,27.049,27.049,27.049,27.049,18.997,3,4.266,3.1995,8.532,18.997,11.732,7.266,513.86,81.147,115.39,86.543,230.78,513.86,317.32,196.54,51.386,8.1147,11.539,8.6543,23.078,51.386,31.732,19.654,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5400,1.8997,0.3,0.4266,0.31995,0.8532,1.8997,1.1732,0.7266,27.049,27.049,27.049,27.049,27.049,27.049,27.049,27.049,18.997,3,4.266,3.1995,8.532,18.997,11.732,7.266,513.86,81.147,115.39,86.543,230.78,513.86,317.32,196.54,51.386,8.1147,11.539,8.6543,23.078,51.386,31.732,19.654,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
